Photo Name,Concentration,Area,Min distance,Mean distance,Max distance,Standart deviation
20864,12.5,91621.68068539129,0,9.046511627906977,17,3.2049553003520925
20778,12.5,110081.22013109698,0,6.319148936170213,15,3.309815938265133
20552,12.5,478240.7305789006,0,20.760295670538543,38,6.44058107635242
20913,12.5,83725.08279743404,0,22.04215456674473,30,5.24197640869525
20707,12.5,19678.020928100268,0,2.907514450867052,6,1.304771659012072
50672,12.5,433000.7818670289,0,15.314067611777537,30,5.847158014456975
20641,12.5,443699.35516181256,0,13.195704057279237,27,5.16250301618619
20678,12.5,506561.864736816,0,9.71270718232044,25,4.773465316120204
20527,12.5,385214.3797809811,0,32.71868365180467,75,16.20831911267514
20627,12.5,461846.7434053045,0,11.981588032220944,24,5.411459669260383
20941,12.5,101729.35671349024,0,9.650234741784038,19,3.966078282157509
20806,12.5,122717.31116385496,0,4.2,11,2.4143250645348857
20768,12.5,101497.10558515423,0,7.107655502392345,14,3.0748849522930355
20625,12.5,492450.1851550879,0,11.194476409666285,21,4.857003945493931
50666,12.5,143.83828417574662,0,0.6,2,0.7118052168020874
20746,12.5,96229.53251380545,0,5.424479166666667,12,2.618946341005476
20814,12.5,9893.639545902186,0,12.246753246753247,26,8.00431027416397
20621,12.5,477814.8112915508,0,10.732246798603027,23,4.640061514043527
20881,12.5,89602.47436483181,0,4.54054054054054,13,3.181828427217338
20915,12.5,86387.49753415996,0,8.92084432717678,15,2.817035123326688
20494,12.5,344007.19578626467,0,25.15180722891566,39,6.725322788791756
20884,12.5,81113.3521839968,0,10.002673796791443,16,3.405326641498976
20935,12.5,83420.91596930641,0,30.630390143737166,45,8.9094774798992
20714,12.5,89532.52215163501,0,23.476923076923075,43,10.679394526639667
20782,12.5,123358.40802716788,0,14.797160243407708,26,4.933578293241032
20525,12.5,341242.6034417842,0,40.64785553047404,79,15.07461243602999
20700,12.5,478028.7150998005,0,12.487777777777778,26,5.857840477661405
20584,12.5,551297.2257042936,0,48.21421800947867,87,20.70175455004001
20894,12.5,86735.82390096817,0,7.684491978609626,16,3.515728621006842
20675,12.5,469525.82425685,0,11.061271676300578,24,5.17796047526605
20528,12.5,401209.87153268704,0,22.583427922814984,55,12.004923226156729
20776,12.5,103596.94062904504,0,7.127058823529412,14,3.361770830111245
20940,12.5,114391.60750291408,0,7.212189616252822,17,3.9734031606878206
20481,12.5,349331.9187605488,0,27.20174346201744,44,9.304273818070667
20615,12.5,481817.3087909721,0,16.67699115044248,28,5.134440518927019
20924,12.5,102529.83268702336,0,11.346511627906978,20,3.632338527739031
20792,12.5,90386.83125869848,0,5.0,11,2.2812456318101875
