iter	Passed	Remaining
330	2248	4544
331	2256	4541
332	2262	4532
333	2270	4526
334	2276	4518
335	2281	4509
336	2289	4504
337	2295	4495
338	2302	4488
339	2309	4482
340	2314	4473
341	2323	4469
342	2329	4461
343	2336	4455
344	2341	4446
345	2347	4436
346	2353	4429
347	2358	4419
348	2366	4413
349	2372	4406
350	2378	4397
351	2386	4393
352	2392	4385
353	2401	4383
354	2407	4374
355	2414	4367
356	2421	4360
357	2426	4351
358	2435	4347
359	2439	4337
360	2446	4330
361	2452	4322
362	2457	4313
363	2465	4307
364	2470	4298
365	2476	4289
366	2484	4285
367	2490	4276
368	2496	4268
369	2502	4261
370	2508	4252
371	2516	4247
372	2522	4239
373	2528	4231
374	2534	4224
375	2540	4215
376	2547	4210
377	2553	4201
378	2560	4195
379	2567	4188
380	2573	4180
381	2581	4176
382	2587	4168
383	2596	4165
384	2602	4157
385	2609	4150
386	2616	4144
387	2622	4137
388	2630	4130
389	2635	4122
390	2643	4117
391	2649	4109
392	2654	4100
393	2663	4096
394	2668	4087
395	2677	4083
396	2683	4076
397	2690	4070
398	2697	4063
399	2703	4055
400	2711	4050
401	2717	4042
402	2726	4038
403	2732	4030
404	2739	4024
405	2745	4017
406	2752	4010
407	2760	4004
408	2765	3996
409	2773	3991
410	2779	3983
411	2785	3975
412	2792	3968
413	2798	3960
414	2806	3956
415	2813	3949
416	2820	3943
417	2826	3935
418	2832	3926
419	2840	3922
420	2845	3913
421	2853	3908
422	2859	3900
423	2866	3894
424	2872	3886
425	2877	3877
426	2884	3870
427	2890	3862
428	2895	3853
429	2902	3847
430	2908	3839
431	2915	3833
432	2921	3825
433	2926	3816
434	2933	3810
435	2939	3801
436	2945	3794
437	2952	3788
438	2959	3781
439	2966	3775
440	2971	3766
441	2977	3759
442	2985	3753
443	2990	3745
444	2999	3740
445	3005	3733
446	3012	3726
447	3018	3719
448	3024	3711
449	3032	3706
450	3037	3697
451	3043	3689
452	3049	3682
453	3056	3675
454	3065	3671
455	3071	3664
456	3078	3657
457	3084	3650
458	3090	3642
459	3098	3637
460	3103	3628
461	3109	3621
462	3116	3614
463	3121	3605
464	3128	3599
465	3134	3591
466	3139	3583
467	3146	3576
468	3152	3568
469	3158	3562
470	3164	3554
471	3169	3546
472	3178	3541
473	3184	3533
474	3190	3526
475	3197	3519
476	3203	3512
477	3210	3506
478	3216	3498
479	3222	3491
480	3229	3484
481	3235	3476
482	3242	3470
483	3248	3462
484	3253	3454
485	3261	3448
486	3266	3440
487	3271	3432
488	3278	3425
489	3284	3418
490	3291	3412
491	3297	3405
492	3306	3400
493	3313	3394
494	3321	3388
495	3327	3381
496	3333	3373
497	3342	3369
498	3349	3362
499	3358	3358
500	3364	3350
501	3373	3346
502	3380	3340
503	3390	3336
504	3396	3329
505	3406	3325
506	3412	3318
507	3420	3312
508	3427	3306
509	3433	3299
510	3441	3293
511	3447	3285
512	3454	3279
513	3460	3272
514	3467	3265
515	3472	3257
516	3477	3249
517	3485	3243
518	3491	3235
519	3497	3228
520	3503	3221
521	3509	3213
522	3517	3208
523	3523	3200
524	3529	3193
525	3536	3186
526	3542	3179
527	3550	3174
528	3556	3166
529	3562	3159
530	3569	3152
531	3574	3144
532	3583	3139
533	3589	3132
534	3596	3125
535	3603	3119
536	3607	3110
537	3615	3104
538	3621	3097
539	3626	3089
540	3633	3082
541	3638	3074
542	3644	3067
543	3651	3060
544	3657	3053
545	3665	3047
546	3670	3039
547	3676	3032
548	3682	3025
549	3688	3018
550	3696	3011
551	3701	3003
552	3706	2995
553	3713	2989
554	3718	2981
555	3724	2974
556	3730	2967
557	3736	2959
558	3742	2952
559	3749	2945
560	3755	2938
561	3762	2932
562	3767	2924
563	3774	2917
564	3781	2911
565	3786	2903
566	3795	2898
567	3802	2891
568	3809	2885
569	3815	2878
570	3821	2871
571	3827	2864
572	3833	2856
573	3839	2849
574	3845	2842
575	3851	2835
576	3859	2829
577	3864	2821
578	3870	2814
579	3877	2807
580	3882	2799
581	3890	2794
582	3897	2787
583	3903	2780
584	3909	2773
585	3915	2766
586	3923	2760
587	3929	2753
588	3936	2746
589	3943	2740
590	3949	2732
591	3956	2726
592	3961	2719
593	3967	2711
594	3974	2705
595	3981	2698
596	3990	2693
597	3995	2686
598	4004	2680
599	4010	2673
600	4017	2667
601	4023	2660
602	4028	2652
603	4037	2646
604	4043	2640
605	4053	2635
606	4060	2628
607	4067	2622
608	4073	2615
609	4078	2607
610	4086	2601
611	4093	2595
612	4101	2589
613	4107	2582
614	4113	2575
615	4119	2568
616	4126	2561
617	4134	2555
618	4139	2547
619	4145	2540
620	4152	2534
621	4157	2526
622	4167	2521
623	4173	2515
624	4182	2509
625	4187	2501
626	4194	2495
627	4200	2488
628	4206	2481
629	4214	2475
630	4220	2468
631	4226	2461
632	4232	2453
633	4237	2446
634	4244	2439
635	4250	2432
636	4255	2425
637	4263	2419
638	4269	2412
639	4275	2404
640	4281	2397
641	4286	2390
642	4292	2383
643	4298	2376
644	4303	2368
645	4311	2362
646	4317	2355
647	4325	2349
648	4332	2342
649	4338	2336
650	4346	2330
651	4352	2323
652	4360	2316
653	4365	2309
654	4372	2303
655	4382	2297
656	4388	2290
657	4395	2284
658	4401	2277
659	4410	2271
660	4415	2264
661	4421	2257
662	4428	2251
663	4435	2244
664	4443	2238
665	4449	2231
666	4455	2224
667	4461	2217
668	4466	2210
669	4474	2203
670	4479	2196
671	4485	2189
672	4491	2182
673	4497	2175
674	4505	2169
675	4510	2161
676	4516	2154
677	4524	2148
678	4530	2141
679	4538	2135
680	4543	2128
681	4549	2121
682	4556	2114
683	4562	2107
684	4568	2100
685	4574	2093
686	4579	2086
687	4586	2080
688	4592	2073
689	4600	2066
690	4607	2060
691	4613	2053
692	4620	2046
693	4626	2039
694	4633	2033
695	4639	2026
696	4644	2019
697	4652	2013
698	4658	2005
699	4664	1999
700	4671	1992
701	4677	1985
702	4683	1978
703	4689	1971
704	4694	1964
705	4702	1958
706	4708	1951
707	4715	1944
708	4721	1938
709	4729	1931
710	4735	1924
711	4740	1917
712	4748	1911
713	4754	1904
714	4760	1897
715	4766	1890
716	4772	1883
717	4781	1878
718	4786	1870
719	4794	1864
720	4802	1858
721	4808	1851
722	4815	1844
723	4821	1837
724	4831	1832
725	4837	1825
726	4846	1819
727	4852	1812
728	4857	1805
729	4864	1799
730	4869	1791
731	4877	1785
732	4882	1778
733	4887	1771
734	4895	1765
735	4900	1757
736	4906	1750
737	4913	1744
738	4918	1737
739	4924	1730
740	4930	1723
741	4935	1716
742	4943	1709
743	4949	1703
744	4957	1696
745	4965	1690
746	4973	1684
747	4981	1678
748	4988	1671
749	4995	1665
750	5003	1658
751	5010	1652
752	5016	1645
753	5025	1639
754	5031	1632
755	5039	1626
756	5046	1619
757	5053	1613
758	5058	1606
759	5065	1599
760	5073	1593
761	5079	1586
762	5087	1580
763	5093	1573
764	5099	1566
765	5106	1560
766	5112	1552
767	5119	1546
768	5124	1539
769	5130	1532
770	5138	1526
771	5144	1519
772	5152	1513
773	5158	1506
774	5163	1499
775	5171	1492
776	5178	1486
777	5185	1479
778	5191	1472
779	5198	1466
780	5206	1459
781	5212	1453
782	5219	1446
783	5230	1440
784	5238	1434
785	5248	1429
786	5262	1424
787	5271	1418
788	5282	1412
789	5290	1406
790	5297	1399
791	5303	1392
792	5310	1386
793	5319	1380
794	5328	1374
795	5336	1367
796	5343	1361
797	5350	1354
798	5356	1347
799	5363	1340
800	5369	1333
801	5376	1327
802	5383	1320
803	5388	1313
804	5397	1307
805	5403	1300
806	5410	1293
807	5416	1287
808	5424	1280
809	5430	1273
810	5436	1266
811	5444	1260
812	5450	1253
813	5457	1246
814	5463	1240
815	5468	1233
816	5476	1226
817	5481	1219
818	5488	1212
819	5496	1206
820	5502	1199
821	5511	1193
822	5516	1186
823	5524	1179
824	5529	1172
825	5535	1166
826	5543	1159
827	5549	1152
828	5556	1146
829	5562	1139
830	5567	1132
831	5575	1125
832	5580	1118
833	5587	1112
834	5595	1105
835	5601	1098
836	5608	1092
837	5614	1085
838	5622	1078
839	5630	1072
840	5639	1066
841	5645	1059
842	5654	1053
843	5660	1046
844	5669	1039
845	5675	1033
846	5682	1026
847	5690	1020
848	5696	1013
849	5704	1006
850	5709	999
851	5716	993
852	5722	986
853	5729	979
854	5737	972
855	5743	966
856	5750	959
857	5756	952
858	5761	945
859	5769	939
860	5775	932
861	5781	925
862	5789	919
863	5796	912
864	5803	905
865	5809	898
866	5817	892
867	5822	885
868	5829	878
869	5836	872
870	5841	865
871	5849	858
872	5854	851
873	5860	844
874	5866	838
875	5871	831
876	5877	824
877	5884	817
878	5890	810
879	5897	804
880	5902	797
881	5909	790
882	5916	783
883	5921	777
884	5930	770
885	5935	763
886	5942	757
887	5948	750
888	5953	743
889	5962	736
890	5967	729
891	5972	723
892	5980	716
893	5986	709
894	5994	703
895	6002	696
896	6011	690
897	6018	683
898	6026	677
899	6033	670
900	6042	663
901	6048	657
902	6057	650
903	6064	644
904	6075	637
905	6082	631
906	6091	624
907	6100	618
908	6110	611
909	6116	604
910	6125	598
911	6132	591
912	6140	585
913	6146	578
914	6153	571
915	6160	564
916	6166	558
917	6174	551
918	6181	544
919	6191	538
920	6197	531
921	6207	525
922	6214	518
923	6224	511
924	6230	505
925	6240	498
926	6245	491
927	6253	485
928	6258	478
929	6263	471
930	6272	464
931	6277	458
932	6283	451
933	6290	444
934	6296	437
935	6304	431
936	6310	424
937	6318	417
938	6323	410
939	6330	404
940	6337	397
941	6343	390
942	6350	383
943	6355	377
944	6360	370
945	6368	363
946	6374	356
947	6381	350
948	6388	343
949	6394	336
950	6403	329
951	6409	323
952	6417	316
953	6423	309
954	6431	303
955	6436	296
956	6442	289
957	6450	282
958	6456	276
959	6464	269
960	6469	262
961	6477	255
962	6483	249
963	6489	242
964	6497	235
965	6504	228
966	6510	222
967	6516	215
968	6521	208
969	6528	201
970	6534	195
971	6540	188
972	6546	181
973	6552	174
974	6558	168
975	6565	161
976	6570	154
977	6579	147
978	6585	141
979	6593	134
980	6600	127
981	6608	121
982	6614	114
983	6620	107
984	6628	100
985	6634	94
986	6641	87
987	6647	80
988	6652	73
989	6660	67
990	6665	60
991	6672	53
992	6679	47
993	6685	40
994	6693	33
995	6698	26
996	6704	20
997	6711	13
998	6717	6
999	6724	0
