Photo Name,Concentration,Area,Min distance,Mean distance,Max distance,Standart deviation
31651,75.0,180832.52706795096,0,2.5658153241650297,6,2.0509450534473754
31453,75.0,246.70167000035377,0,3.333333333333333,6,1.5153535218873175
31650,75.0,198875.9252652676,0,3.211214953271028,9,1.819485759886734
31688,75.0,176093.6969177739,0,2.047244094488189,10,1.5438894931922862
31433,75.0,195802.5145022352,0,2.056179775280899,7,1.5688413904868836
31671,75.0,212147.62815955392,0,11.577249575551782,34,7.470568755358856
31764,75.0,167059.55217447906,0,1.9344262295081969,5,1.4385654564276062
31693,75.0,198346.45642114847,0,8.34,16,3.28506814651884
31662,75.0,165025.8838471407,0,3.5503080082135523,9,2.598577028786228
31835,75.0,204828.63727286167,0,6.891696750902527,15,4.827998554807582
31654,75.0,180262.4360553434,0,2.218503937007874,5,1.5076876902211356
31380,75.0,167048.35294591292,0,4.915831663326653,11,3.430519901313218
31759,75.0,222433.02652293624,0,4.933450087565674,10,3.1034332446906774
31800,75.0,3944.818745167423,0,3.4367816091954024,10,2.633563860527758
31434,75.0,191653.27866523468,0,2.248091603053436,5,1.482562828762141
31812,75.0,36070.59723457131,0,36.401685393258425,54,13.1496954923478
31561,75.0,198854.2573038228,0,3.582089552238806,8,2.423604406733616
31740,75.0,186149.8833847856,0,2.394990366088632,11,2.0182343028637524
31412,75.0,175890.891736673,0,2.8429423459244534,6,1.888856326280031
31449,75.0,15914.85106842288,0,3.924528301886793,9,2.541596511607489
31474,75.0,204396.18349750977,0,7.896057347670251,16,4.727326820106133
31859,75.0,186961.6034052169,0,1.7848837209302326,4,0.9696180149967872
31486,75.0,171361.1340398873,0,5.13373253493014,12,3.478488188877324
31760,75.0,204079.03950264843,0,5.663619744058501,12,3.020982694491076
31405,75.0,192279.46087795464,0,8.624542124542124,15,2.820656125944149
31525,75.0,193103.9261959188,0,6.678966789667896,22,4.321093082420391
31495,75.0,192660.4287648328,0,3.464895635673624,8,2.307935559127533
31441,75.0,185881.4923917029,0,4.009633911368016,9,2.70265402650451
31854,75.0,167588.0846345566,0,2.4134419551934827,6,1.678346147378123
31393,75.0,185526.2062528908,0,5.461832061068702,13,3.9467439090023184
31395,75.0,157807.06601192834,0,6.868312757201646,16,4.966051833777329
31577,75.0,192542.57013348283,0,2.9943074003795065,6,1.5748153846206336
31435,75.0,196057.58258375,0,3.054613935969868,7,1.844938204660207
31544,75.0,195079.9599746508,0,2.919020715630885,8,1.80160939286719
31863,75.0,209905.03712110184,0,4.766726943942134,10,3.5027521537465383
31572,75.0,189265.73151729256,0,5.200757575757576,10,2.128771028726584
31791,75.0,167091.95441729855,0,6.193158953722334,14,4.35623393835078
31634,75.0,183489.88681024488,0,4.445736434108527,10,2.9417736503005782
31694,75.0,189682.31450937004,0,2.4280230326295587,6,1.4750326869234225
31680,75.0,193116.3968362033,0,5.532956685499058,11,3.5854311972290853
31601,75.0,195720.901866866,0,3.6741996233521657,9,2.7938041938406344
31629,75.0,176319.11771566194,0,6.990272373540856,16,4.6384770750342295
31777,75.0,153263.27992263675,0,3.4088983050847457,8,2.4787583290964297
31398,75.0,198414.7388898086,0,5.549815498154982,12,3.6604384886320247
31778,75.0,131179.257424756,0,5.876126126126126,13,4.079775137588025
31457,75.0,4981.703618860314,0,0.686046511627907,2,0.5117600252247765
31676,75.0,228201.4317919482,0,9.040066777963272,29,6.737263182296455
31423,75.0,187513.1347718317,0,0.9824902723735408,4,0.6957939401171994
31717,75.0,150806.44978750497,0,8.272916666666667,19,6.050008250109159
31575,75.0,203114.43426420132,0,34.9560606060606,50,9.177684212887172
31559,75.0,162729.7236659941,0,4.092592592592593,8,2.5566959345039284
31414,75.0,201802.77330384144,0,2.3152985074626864,5,1.467123894847873
31370,75.0,201238.5910687915,0,11.222984562607204,24,5.477697179705864
31727,75.0,193282.85526126588,0,2.4847908745247147,5,1.5275532306981467
31515,75.0,171427.7582184747,0,4.150300601202405,9,2.8389388964779627
31444,75.0,197919.4397312448,0,12.914438502673796,22,6.014820236248301
31785,75.0,200376.2129763288,0,3.005597014925373,7,2.1217526587860607
31734,75.0,186509.7029479864,0,5.152854511970534,30,5.7917056771753135
31514,75.0,36070.59723457131,0,36.401685393258425,54,13.1496954923478
31541,75.0,227273.09359300663,0,3.836769759450172,16,2.89788794020742
31558,75.0,157776.23089518605,0,3.6485355648535567,8,2.34072279671862
31613,75.0,212430.37437048144,0,10.21514629948365,19,4.486373845301045
31422,75.0,177946.03860356155,0,1.2609561752988048,3,0.8686835084885823
31817,75.0,3944.818745167423,0,3.4367816091954024,10,2.633563860527758
31712,75.0,171775.72204385386,0,4.750499001996008,11,3.16726406023314
31751,75.0,162622.86661600863,0,4.238683127572016,9,2.731583585236036
31624,75.0,274385.3368794207,0,15.09051094890511,27,7.040901186634642
31805,75.0,4241.301657188716,0,5.24468085106383,13,3.508913180267445
31469,75.0,22680.1824400346,0,11.68,25,6.421823901526903
31756,75.0,177872.6028555734,0,2.807920792079208,6,1.9368077833811257
31487,75.0,162235.19043286677,0,5.660531697341513,12,3.593805242095895
31570,75.0,226895.8166142899,0,9.77777777777778,18,4.356323370789483
31564,75.0,195367.05152489524,0,2.981132075471698,6,1.8560514594945687
31451,75.0,8177.055655489818,0,2.8403361344537816,9,2.15368823097897
31815,75.0,4307.822769135617,0,6.428571428571429,16,4.850836241814184
31546,75.0,171522.97780092846,0,4.243512974051896,9,2.646238401764548
31571,75.0,206962.08024305428,0,9.619964973730298,20,4.697231065589251
31493,75.0,190976.25742860584,0,3.4457142857142857,8,2.599524812672632
31598,75.0,201674.0590362064,0,4.089053803339517,9,2.949710031797661
31499,75.0,226596.5698131088,0,10.164763458401303,38,8.200421635073877
31858,75.0,175908.26621772393,0,2.3824701195219125,5,1.179646223768204
31491,75.0,189246.6564582468,0,2.148362235067437,5,1.5316670857154249
31757,75.0,257900.92678003048,0,14.976599063962558,25,6.480818810813574
31390,75.0,249837.93928268465,0,6.067323481116585,17,4.309122666674008
31591,75.0,212434.98810551068,0,7.618556701030927,19,4.5914382423575
31578,75.0,208263.7891618698,0,3.384335154826958,9,2.672093277091607
31470,75.0,194885.50647952617,0,4.70817843866171,8,2.2629979847406654
31824,75.0,191823.3246528264,0,5.637898686679175,12,3.358256730419692
31548,75.0,177347.6808746633,0,2.481113320079523,5,1.4153170735104168
