Photo Name,Concentration,Area,Min distance,Mean distance,Max distance,Standart deviation
31097,12.5,368413.0413556176,0,74.77934782608696,112,27.05988141480603
22144,12.5,454393.274331284,0,26.885128205128204,48,8.796918712237671
22100,12.5,375638.89466899127,0,33.10141509433962,55,9.708443022546732
40910,12.5,13391.671605337691,0,7.451612903225806,15,4.138245768886192
30942,12.5,425367.4786972033,0,50.810526315789474,76,16.333301298327264
50253,12.5,432324.23454127176,0,16.556933483652763,37,7.786241939406989
40031,12.5,317099.52258448885,0,39.50830564784053,59,12.644280841272
41075,12.5,264132.67524884554,0,52.66417910447761,80,17.735296514290308
30909,12.5,429160.82278843946,0,72.00776699029126,106,21.69027203238609
50146,12.5,444887.7410461647,0,32.526370217166495,50,8.96189091018763
50277,12.5,1574.7329348116014,0,1.7115384615384617,4,1.1152188205690752
30070,12.5,447119.1978640701,0,20.109215017064848,43,10.119283754638776
40717,12.5,10282.536966102114,0,3.954545454545455,9,3.03230994149134
30921,12.5,424876.2095492879,0,51.172955974842765,80,16.762256139459698
40941,12.5,227031.4747020673,0,33.67777777777778,54,13.010425544135988
30099,12.5,435016.8235038032,0,17.50291036088475,38,9.206766171366755
22149,12.5,412623.5357238031,0,20.23515439429929,36,5.961419850913894
50497,12.5,453388.8857669552,0,14.86839266450917,38,6.741805038168593
50296,12.5,472258.4413418385,0,16.67058823529412,31,6.871046061956655
50003,12.5,465063.8436959724,0,18.068852459016394,31,6.762695997388545
30684,12.5,43309.17918819178,0,17.457971014492752,37,7.931160446501215
50258,12.5,2343.635658070635,0,7.284090909090909,12,3.201380609973977
30447,12.5,22107.09609116608,0,22.98876404494382,31,8.003502578783545
50384,12.5,371271.68793332815,0,7.845549738219895,22,4.504182882748367
40930,12.5,25294.21058673745,0,9.15137614678899,23,5.075577694401701
30814,12.5,406979.0145503503,0,52.315845824411134,82,17.33465249652768
50166,12.5,487288.21471760015,0,14.664241164241163,30,6.620587016958263
50058,12.5,442085.1259338798,0,12.427390791027154,24,5.567158351065829
